Team,Matches,Wins,Draws,Losses,WinRate,GoalsFor,GoalsAgainst,GoalDiff,AvgGoalsScored,AvgGoalsConceded,HomeWinRate,AwayWinRate
Man United,662,415,132,115,0.6268882175226587,1255,583,672,1.8957703927492446,0.8806646525679759,0.7190332326283988,0.5347432024169184
Chelsea,662,402,147,113,0.6072507552870091,1237,570,667,1.8685800604229608,0.8610271903323263,0.6837349397590361,0.5303030303030303
Arsenal,662,382,157,123,0.5770392749244713,1266,668,598,1.9123867069486404,1.0090634441087614,0.6837349397590361,0.4696969696969697
Liverpool,662,349,165,148,0.527190332326284,1153,650,503,1.741691842900302,0.9818731117824774,0.6181818181818182,0.4367469879518072
Man City,624,312,136,176,0.5,1097,685,412,1.7580128205128205,1.0977564102564104,0.6089743589743589,0.391025641025641
Tottenham,662,312,157,193,0.47129909365558914,1037,794,243,1.566465256797583,1.1993957703927491,0.5866261398176292,0.35735735735735735
Leeds,114,46,29,39,0.40350877192982454,157,159,-2,1.3771929824561404,1.394736842105263,0.43859649122807015,0.3684210526315789
Everton,662,254,193,215,0.38368580060422963,889,813,76,1.3429003021148036,1.2280966767371602,0.5060240963855421,0.2606060606060606
Ipswich,76,29,15,32,0.3815789473684211,98,106,-8,1.2894736842105263,1.394736842105263,0.4473684210526316,0.3157894736842105
Newcastle,586,194,152,240,0.3310580204778157,723,844,-121,1.233788395904437,1.4402730375426622,0.4387755102040816,0.2226027397260274
Blackburn,380,124,98,158,0.3263157894736842,466,549,-83,1.2263157894736842,1.444736842105263,0.4052631578947368,0.24736842105263157
Bolton,380,122,96,162,0.32105263157894737,454,562,-108,1.194736842105263,1.4789473684210526,0.3894736842105263,0.25263157894736843
West Ham,548,174,140,234,0.3175182481751825,666,811,-145,1.2153284671532847,1.47992700729927,0.41818181818181815,0.21611721611721613
Leicester,282,89,77,116,0.31560283687943264,356,414,-58,1.2624113475177305,1.4680851063829787,0.3900709219858156,0.24113475177304963
Bournemouth,130,41,32,57,0.3153846153846154,170,221,-51,1.3076923076923077,1.7,0.3787878787878788,0.25
Southampton,396,124,115,157,0.31313131313131315,482,527,-45,1.2171717171717171,1.3308080808080809,0.39086294416243655,0.23618090452261306
Charlton,228,71,63,94,0.31140350877192985,256,330,-74,1.1228070175438596,1.4473684210526316,0.40350877192982454,0.21929824561403508
Swansea,266,82,66,118,0.3082706766917293,306,383,-77,1.150375939849624,1.4398496240601504,0.38345864661654133,0.23308270676691728
Aston Villa,570,175,180,215,0.30701754385964913,676,795,-119,1.1859649122807017,1.394736842105263,0.3543859649122807,0.2596491228070175
Stoke,380,116,109,155,0.30526315789473685,398,525,-127,1.0473684210526315,1.381578947368421,0.4263157894736842,0.18421052631578946
Portsmouth,266,79,65,122,0.29699248120300753,292,380,-88,1.0977443609022557,1.4285714285714286,0.40601503759398494,0.18796992481203006
Fulham,472,139,130,203,0.2944915254237288,545,687,-142,1.1546610169491525,1.4555084745762712,0.43829787234042555,0.1518987341772152
Crystal Palace,244,70,55,119,0.28688524590163933,268,353,-85,1.098360655737705,1.4467213114754098,0.3305785123966942,0.24390243902439024
Reading,114,32,23,59,0.2807017543859649,136,186,-50,1.1929824561403508,1.631578947368421,0.40350877192982454,0.15789473684210525
Wigan,304,85,76,143,0.27960526315789475,316,482,-166,1.0394736842105263,1.5855263157894737,0.3157894736842105,0.24342105263157895
Brighton,54,15,16,23,0.2777777777777778,53,76,-23,0.9814814814814815,1.4074074074074074,0.4230769230769231,0.14285714285714285
Middlesbrough,342,94,101,147,0.27485380116959063,366,459,-93,1.0701754385964912,1.3421052631578947,0.3567251461988304,0.19298245614035087
Watford,168,45,40,83,0.26785714285714285,173,264,-91,1.0297619047619047,1.5714285714285714,0.3333333333333333,0.20238095238095238
Blackpool,38,10,9,19,0.2631578947368421,55,78,-23,1.4473684210526316,2.0526315789473686,0.2631578947368421,0.2631578947368421
Birmingham,228,60,73,95,0.2631578947368421,232,311,-79,1.0175438596491229,1.3640350877192982,0.3684210526315789,0.15789473684210525
Sheffield United,38,10,8,20,0.2631578947368421,32,55,-23,0.8421052631578947,1.4473684210526316,0.3684210526315789,0.15789473684210525
Burnley,168,43,40,85,0.25595238095238093,160,261,-101,0.9523809523809523,1.5535714285714286,0.35714285714285715,0.15476190476190477
West Brom,418,106,120,192,0.2535885167464115,446,631,-185,1.0669856459330143,1.5095693779904307,0.3349282296650718,0.1722488038277512
Sunderland,494,123,132,239,0.24898785425101214,499,730,-231,1.0101214574898785,1.4777327935222673,0.3157894736842105,0.18218623481781376
Norwich,190,46,53,91,0.24210526315789474,202,330,-128,1.063157894736842,1.736842105263158,0.35789473684210527,0.12631578947368421
Wolves,168,38,44,86,0.2261904761904762,173,300,-127,1.0297619047619047,1.7857142857142858,0.30952380952380953,0.14285714285714285
Hull,190,41,48,101,0.21578947368421053,181,323,-142,0.9526315789473684,1.7,0.30526315789473685,0.12631578947368421
Coventry,38,8,10,20,0.21052631578947367,36,63,-27,0.9473684210526315,1.6578947368421053,0.21052631578947367,0.21052631578947367
Huddersfield,54,11,14,29,0.2037037037037037,38,85,-47,0.7037037037037037,1.5740740740740742,0.25925925925925924,0.14814814814814814
Cardiff,54,11,11,32,0.2037037037037037,47,104,-57,0.8703703703703703,1.9259259259259258,0.32142857142857145,0.07692307692307693
QPR,114,22,26,66,0.19298245614035087,115,199,-84,1.0087719298245614,1.7456140350877194,0.2631578947368421,0.12280701754385964
Derby,114,19,26,69,0.16666666666666666,90,211,-121,0.7894736842105263,1.8508771929824561,0.24561403508771928,0.08771929824561403
Bradford,38,5,11,22,0.13157894736842105,30,70,-40,0.7894736842105263,1.8421052631578947,0.21052631578947367,0.05263157894736842
